"province" "country" "latitude" "longitude"
"Virginia" "United States" 37.2255832 -78.4452578
"Virginia" "United States" 37.76128384 -77.49293992
"Virginia" "United States" 37.37994043 -77.58694957
"Virginia" "United States" NA NA
"Virginia" "United States" NA NA
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Florida" "United States" 27.92895182 -82.72178993
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Kentucky" "United States" 38.44207206 -84.33169087
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Kentucky" "United States" 38.44207206 -84.33169087
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Iowa" "United States" 41.67180992 -91.58862202
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 30.06923 -89.9312
"Louisiana" "United States" 29.83975 -90.1382
"Louisiana" "United States" 29.83975 -90.1382
"Iowa" "United States" 41.67180992 -91.58862202
"Louisiana" "United States" 29.83975 -90.1382
"Louisiana" "United States" 29.83975 -90.1382
"Louisiana" "United States" 29.83975 -90.1382
"Louisiana" "United States" 29.83975 -90.1382
"Louisiana" "United States" 29.83975 -90.1382
"Louisiana" "United States" 29.83975 -90.1382
"Kentucky" "United States" 38.20697573 -84.21713525
